#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"

### NEW NATIONS MOD ###

###France Mod###
NZF		="countries/French New Zealand.txt"
MSK		="countries/Mosquito Coast.txt"
MAU		="countries/Mauritius.txt"
SEY		="countries/Seychelles.txt"
IOT		="countries/Indian Ocean Territory.txt"
SGP		="countries/Singapore.txt"
MTQ		="countries/Martinique.txt"
SVA		="countries/Svaneti.txt"
MIG		="countries/Mingrelia.txt"
KLC		="countries/Kalachur.txt"
REW		="countries/Rewah.txt"
GEN 	="countries/Genoa.txt"

###Colonial Spain Countries
CGC 	= "countries/Colonial Chile.txt"
VNG		= "countries/Colonial Colombia.txt"
VLP		= "countries/Colonial La Plata.txt"
VOP		= "countries/Colonial Peru.txt"
VNS		= "countries/Colonial Spain.txt"

##Pre-Middle East Nations
KHR		= "countries/Khorasan.txt"
KHZ		= "countries/Khuzestan.txt"
HRT		= "countries/Herat.txt"
HZJ		= "countries/Hazarajat.txt"
KDH		= "countries/Kandahar.txt"

##HPM
ATC		="countries/Antillean Confederation.txt"
ZOU		="countries/Zoutpansberg.txt"
VLK		="countries/Volkstaat.txt"
MNP		="countries/Manipur.txt"
BDK		="countries/Badakhshan.txt"
PGG		="countries/Pingnan Guo.txt"
SGM		="countries/Sigmaringen.txt"
NMB		="countries/Namibia.txt"
TMR		="countries/Timor.txt"
SLG		="countries/Selangor.txt"
PRK		="countries/Perak.txt"
PHG		="countries/Pahang.txt"
FRO		="countries/Faroe.txt"
NCT		="countries/Neuchatel.txt"
HBY		="countries/Hobyo.txt"
QAT		="countries/Qatar.txt"
BRY		="countries/Buryatia.txt"
MLD		="countries/Maldives.txt"
KAR		="countries/Karen.txt"
LHR		="countries/Lahore.txt"
CRL		="countries/Chitral.txt"
RDL		="countries/Ardalan.txt"
BTL		="countries/Bitlis.txt"
BDN		="countries/Bahdinan.txt"
BZD		="countries/Beyazid.txt"
NVK		="countries/Nivkhia.txt"
SRN		="countries/Soran.txt"
GLD		="countries/Geldern.txt"
PNB		="countries/Pernambuco.txt"
FIU		="countries/Fiume.txt"
SYC		="countries/Sicily.txt"
MDV		="countries/Moldova.txt"
ABK		="countries/Abkhazia.txt"
CRT		="countries/Corrientes.txt"
SBA		="countries/Buenos Aires.txt"
LHJ		="countries/Lahej.txt"
FDL		="countries/Fadhli.txt"
KTH		="countries/Kathiri.txt"
MHR		="countries/Mahra.txt"
KML		="countries/Kumul.txt"
SHK		="countries/Shilluk.txt"
FNJ		="countries/Funj.txt"
WRL 	="countries/Warsangali.txt"
BHP		="countries/Bahawalpur.txt"
EZO		="countries/Ezo.txt"
CHY		="countries/Chechnya.txt"
CHK		="countries/Champasak.txt"
CHA		="countries/Champa.txt"
QNG		="countries/Qing China.txt"
MGH		="countries/Maghreb.txt"

#Latin America

BAH		= "countries/Bahia.txt"
CHP		= "countries/Chiapas.txt"
CEQ		= "countries/Equador Confederation.txt"
ENT		= "countries/Entre Rios.txt"
GCO		= "countries/Gran Colombia.txt"
GUY		= "countries/Guyana.txt"
LOS		= "countries/Los Altos.txt"
#OAX		= "countries/Oaxaca.txt"
PBC		= "countries/Peru-Bolivia Confederation.txt"
PTG		= "countries/Patagonia.txt"
RGR		= "countries/Rio Grande.txt"
RGS		= "countries/Rio Grande do Sul.txt"
SON		= "countries/Sonora.txt"
SPU		= "countries/South Peru.txt"
YUC		= "countries/Yucatan.txt"

#North America
BLZ		= "countries/Belize.txt"
DAK		= "countries/Dakota.txt"
FSA		= "countries/Free States of America.txt"
GRN		= "countries/Greenland.txt"
JAM		= "countries/Jamaica.txt"
LSK		= "countries/Alaska.txt"
MRU		= "countries/Maritime Union.txt"
PRI		= "countries/Puerto Rico.txt"
RPL		= "countries/Rupert's Land.txt"
#TRS	= "countries/Tarasco.txt"
TTB		= "countries/Trinidad.txt"
UIL		= "countries/Illinois.txt"
UNB		= "countries/Nebraska.txt"
UNM		= "countries/New Mexico.txt"
UOR		= "countries/Oregon.txt"

#Europe
ALS		= "countries/Elsass.txt"
BAN		= "countries/Banat.txt"
BKV		= "countries/Bukovina.txt"
BRT		= "countries/Brittany.txt"
BSQ		= "countries/Basqueland.txt"
CRS		= "countries/Corsica.txt"
DLM		= "countries/Dalmatia.txt"
ENL		= "countries/England.txt"
GLM		= "countries/Galicia-Lodomeria.txt"
IBR		= "countries/Iberia.txt"
LOR		= "countries/Lorraine.txt"
MCD		= "countries/Macedonia.txt"
MLT		= "countries/Malta.txt"
SPC		= "countries/Carlist Spain.txt"
SRD		= "countries/Sardinia.txt"
SVY		= "countries/Savoy.txt"
SWH		= "countries/Schleswig-Holstein.txt"

#Germany
MRV		= "countries/Moravia.txt"
LUZ		= "countries/Luzica.txt"
RHI		= "countries/Rhineland.txt"
PML		= "countries/Pomerelia.txt"
PZN		= "countries/Poznan.txt"
SLS		= "countries/Silesia.txt"
WES		= "countries/Westfalen.txt"

#Russia
AKH		= "countries/Astrakhan.txt"
ALT		= "countries/Altai Republic.txt"
MAZ		= "countries/Mazovia.txt"
DON		= "countries/Cossackia.txt"
IZH		= "countries/Ingria.txt"
KAZ 	= "countries/Kazakhstan.txt"
KAM 	= "countries/Kamchatka.txt"
KMK		= "countries/Kalmykia.txt"
KRL		= "countries/Karelia.txt"
SIB		= "countries/Siberian Republic.txt"
TAR 	= "countries/Tatarstan.txt"
UDM 	= "countries/Udmurtia.txt"
MRL 	= "countries/Mari El.txt"
MRD 	= "countries/Mordvinia.txt"
CHV 	= "countries/Chuvashia.txt"
TNT		= "countries/Tannu Tuva.txt"
URA 	= "countries/Ural Republic.txt"
YAK 	= "countries/Yakutia.txt"

#Middle East
ARU		= "countries/Arab Union.txt"
ASY		= "countries/Assyria.txt"
BHR		= "countries/Bahrain.txt"
CIR		= "countries/Circassia.txt"
CLC		= "countries/Cilicia.txt"
DAG		= "countries/Dagestan.txt"
NAZ		= "countries/Nazirid Empire.txt"
HAL		= "countries/Hail.txt"
JOR		= "countries/Jordan.txt"
KDS		= "countries/Kurdistan.txt"
KWT		= "countries/Kuwait.txt"
KYR		= "countries/Kyrgyzstan.txt"
LBN		= "countries/Lebanon.txt"
NYE		= "countries/North Yemen.txt"
PLS		= "countries/Palestine.txt"
PNT		= "countries/Pontus.txt"
SYR		= "countries/Syria.txt"
TAJ		= "countries/Tajikstan.txt"
TCA		= "countries/Transcaucasia.txt"
TKM		= "countries/Turkmenistan.txt"
TKS		= "countries/Turkestan.txt"
UYG		= "countries/Uyghurstan.txt"
UZB		= "countries/Uzbekistan.txt"

#India
ASM		= "countries/Assam.txt"
GLK		= "countries/Golkonda.txt"
BLC		= "countries/Baluchistan.txt"
BNG		= "countries/Bengal.txt"
DRA		= "countries/Dravidistan.txt"
KRN		= "countries/Karnatak.txt"
MAH		= "countries/Maharashtra.txt"
#MRT	= "countries/Marathas.txt"
RAJ		= "countries/Rajputana.txt"
SRI		= "countries/Sri Lanka.txt"

#HPM Africa
BKF		="countries/Burkina Faso.txt"
ZBW		="countries/Zimbabwe.txt"
CMS		="countries/Comoros.txt"
EQG		="countries/Equatorial Guinea.txt"
#KHO		="countries/Khoisan.txt"
#Africa
AGC		= "countries/Angoche.txt"
ANG		= "countries/Angola.txt"
ARO		= "countries/Aro.txt"
ASH		= "countries/Ashanti.txt"
AWS		= "countries/Awsa.txt"
AZA		= "countries/Azande.txt"
BEN		= "countries/Benin.txt"
BRD		= "countries/Urundi.txt"
BSH		= "countries/Basotho.txt"
BUG		= "countries/Buganda.txt"
CAR		= "countries/Central African Republic.txt"
CGO		= "countries/Congo-Brazzaville.txt"
CHD		= "countries/Chad.txt"
CLA		= "countries/Calabar.txt"
CMR		= "countries/Cameroon.txt"
CYR		= "countries/Cyrenaica.txt"
DAH		= "countries/Dahomey.txt"
DAM		= "countries/Damagaram.txt"
DAR		= "countries/Darfur.txt"
DND		= "countries/Dendi.txt"
GAB		= "countries/Gabon.txt"
GAZ		= "countries/Gaza.txt"
GBU		= "countries/Gabu.txt"
GEL		= "countries/Geledi.txt"
GMB		= "countries/Gambia.txt"
GNE		= "countries/Guinea.txt"
GON		= "countries/Gonder.txt"
HAR		= "countries/Harar.txt"
IVC		= "countries/Ivory Coast.txt"
JAL		= "countries/Jallon.txt"
KAF		= "countries/Kaffa.txt"
KBO		= "countries/Kanem-Bornu.txt"
KNG		= "countries/Kong.txt"
KNY		= "countries/Kenya.txt"
KON		= "countries/Kongo.txt"
KUB		= "countries/Kuba.txt"
KZB		= "countries/Kazembe.txt"
LBA		= "countries/Luba.txt"
LBY		= "countries/Libya.txt"
LOA		= "countries/Loango.txt"
LUN		= "countries/Lunda.txt"
MAJ		= "countries/Majeerteen.txt"
MAS		= "countries/Massina.txt"
MAT		= "countries/Matabele.txt"
MLI		= "countries/Mali.txt"
MLW		= "countries/Malawi.txt"
MNG		= "countries/Mongo.txt"
MOS		= "countries/Mossi.txt"
MOZ		= "countries/Mozambique.txt"
NGR		= "countries/Nigeria.txt"
NIG		= "countries/Niger.txt"
OYO		= "countries/Oyo.txt"
RWA		= "countries/Ruanda.txt"
SEG		= "countries/Segu.txt"
SHO		= "countries/Shona.txt"
SID		= "countries/Sidama.txt"
SLE		= "countries/Sierra Leone.txt"
SNG		= "countries/Senegal.txt"
SOM		= "countries/Somalia.txt"
SUA		= "countries/Suazi.txt"
SUD		= "countries/Sudan.txt"
TIG		= "countries/Tigray.txt"
TNZ		= "countries/Tanzania.txt"
TOG		= "countries/Togo.txt"
TOO		= "countries/Tooro.txt"
TOU		= "countries/Toucouleur.txt"
TRZ		= "countries/Trarza.txt"
TSW		= "countries/Botswana.txt"
WAD		= "countries/Wadai.txt"
WRI		= "countries/Warri.txt"
WOL		= "countries/Wolof.txt"
XHO		= "countries/Xhosa.txt"
ZAM		= "countries/Zambia.txt"

# Eastern Asia
DJA		= "countries/Jambi.txt"
FJN		= "countries/Fujian.txt"
GMJ		= "countries/Guominjun.txt"
GNG		= "countries/Guangdong.txt"
HNN		= "countries/Hunan.txt"
HUI		= "countries/Hui.txt"
INO		= "countries/Indonesia.txt"
KCH		= "countries/Kachin.txt"
KLM		= "countries/Kalimantan.txt"
KMT		= "countries/Nationalist China.txt"
KTI		= "countries/Kutai.txt"
LAN		= "countries/Lanfang.txt"
LXA		= "countries/Lan Xang.txt"
MAL		= "countries/Maluku.txt"
MLY		= "countries/Malaya.txt"
SHA		= "countries/Shan.txt"
SLW		= "countries/Sulawesi.txt"
SAK		= "countries/Siak.txt"
SUL		= "countries/Sulu.txt"
SWK		= "countries/Sarawak.txt"
SZC		= "countries/Sichuan.txt"
TAI		= "countries/Taiwan.txt"

# Japan
CHO		= "countries/Choshu.txt"
KAG		= "countries/Kaga.txt"
RYU		= "countries/Ryukyu.txt"
WUU		= "countries/Wu.txt"
SEN		= "countries/Sendai.txt"
KYO		= "countries/Kyoto.txt"
TOS		= "countries/Tosa.txt"
YZW		= "countries/Yonezawa.txt"
HOJ		= "countries/Hojo.txt"
UES		= "countries/Uesugi.txt"

# Australasia & the Pacific
AOT     = "countries/Aotearoa.txt"
FIJ		= "countries/Fiji.txt"
SNZ     = "countries/South Island.txt"
TGA		= "countries/Tonga.txt"
####HPM######
PPG		= "countries/Papua New Guinea.txt"
VTU		= "countries/Vanuatu.txt" 
SMO		= "countries/Samoa.txt"

### END OF NEW NATIONS MOD ###

# New for 2.3
ARA		= "countries/Arabia.txt"
BYE		= "countries/Belarus.txt"
CMW		= "countries/Commonwealth.txt"
UBD		= "countries/United Baltic Provinces.txt"

# Scandinavia
DEN		= "countries/Denmark.txt"
FIN		= "countries/Finland.txt"
NOR		= "countries/Norway.txt"
SCA		= "countries/Scandinavia.txt"
SWE		= "countries/Sweden.txt"

# Western Europe
BEL		= "countries/Belgium.txt"
CAT		= "countries/Catalonia.txt"
FLA		= "countries/Flanders.txt"
IRE		= "countries/Ireland.txt"
NET		= "countries/Netherlands.txt"
GLC		= "countries/Galicia.txt"
SCO		= "countries/Scotland.txt"
SPA		= "countries/Spain.txt"
WLL		= "countries/Wallonia.txt"

# Germany
ANH		= "countries/Anhalt.txt"
BAD		= "countries/Baden.txt"
BAV		= "countries/Bavaria.txt"
BRA		= "countries/Braunschweig.txt"
BRE		= "countries/Bremen.txt"
DZG		= "countries/Danzig.txt"
FRM		= "countries/Frankfurt am Main.txt"
HAM		= "countries/Hamburg.txt"
HAN		= "countries/Hanover.txt"
HES		= "countries/Hesse.txt"
HOL		= "countries/Holstein.txt"
LIP		= "countries/Lippe-Detmold.txt"
LUB		= "countries/Lubeck.txt"
LUX		= "countries/Luxemburg.txt"
MEC		= "countries/Mecklenburg.txt"
NAS		= "countries/Nassau.txt"
NGF		= "countries/North German Fed.txt"
OLD		= "countries/Oldenburg.txt"
SAX		= "countries/Saxony.txt"
SCH		= "countries/Schleswig.txt"
SGF		= "countries/South German Fed.txt"
WUR		= "countries/Wurttemberg.txt"

# Italy
CIS		= "countries/Cisalpina.txt"
LUC		= "countries/Lucca.txt"
MOD		= "countries/Modena.txt"
PAP		= "countries/Papal States.txt"
PAR		= "countries/Parma.txt"
SAR		= "countries/Sardinia-Piedmont.txt"
SIC		= "countries/Two Sicilies.txt"
TRE		= "countries/Trieste.txt"
TUS		= "countries/Tuscany.txt"
VEN		= "countries/Venice.txt"

# Eastern Europe
BOH		= "countries/Bohemia-Moravia.txt"
USL		= "countries/Upper-Silesia.txt"
CRI		= "countries/Crimea.txt"
EST		= "countries/Estonia.txt"
HUN		= "countries/Hungary.txt"
LIT		= "countries/Lithuania.txt"
LAT		= "countries/Latvia.txt"
POL		= "countries/Poland.txt"
SLV		= "countries/Slovakia.txt"
SWI		= "countries/Switzerland.txt"
RUT		= "countries/Ruthenia.txt"
SIE		= "countries/Siebenburgen.txt"
UKR		= "countries/Ukraine.txt"
CZH		= "countries/Czechoslovakia.txt"

# Balkans
ALB		="countries/Albania.txt"
BOS		="countries/Bosnia-Herzegovina.txt"
BUL		="countries/Bulgaria.txt"
EPI		="countries/Epirus.txt"
CRO		="countries/Croatia.txt"
CYP		="countries/Cyprus.txt"
GRE		="countries/Greece.txt"
ION		="countries/Ionian Islands.txt"
MOL		="countries/Moldavia.txt"
HER		="countries/Hercegovina.txt"
KSV		="countries/Kosovo.txt"
ROM		="countries/Romania.txt"
SER		="countries/Serbia.txt"
SLO		="countries/Slovenia.txt"
TUR		="countries/Ottoman Empire.txt"
WAL		="countries/Wallachia.txt"
YUG		="countries/Yugoslavia.txt"

# Africa
CNG		="countries/Congo Free State.txt"
EGY		="countries/Egypt.txt"
ETH		="countries/Ethiopia.txt"
MAD		="countries/Madagascar.txt"
LIB		="countries/Liberia.txt"
MOR		="countries/Morocco.txt"
NAL		="countries/Natalia.txt"
ORA		="countries/Oranje.txt"
SAF		="countries/South Africa.txt"
SOK		="countries/Sokoto.txt"
RHO		="countries/Southern Rhodesia.txt"
TRI		="countries/Tripoli.txt"
TRN		="countries/Transvaal.txt"
TUN		="countries/Tunis.txt"
ZAN		="countries/Zanzibar.txt"
ZUL		="countries/Zulu.txt"

# Cental Asia
ABU		="countries/Abu Dhabi.txt"
AFG		="countries/Afghanistan.txt"
ARM		="countries/Armenia.txt"
AZB		="countries/Azerbaijan.txt"
BUK		="countries/Bukkhara.txt"
GEO		="countries/Georgia.txt"
HDJ		="countries/Hedjaz.txt"
IRQ		="countries/Iraq.txt"
KHI		="countries/Khiva.txt"
KOK		="countries/Kokand.txt"
DLH		="countries/Delhi.txt"
NEJ		="countries/Nejd.txt"
OMA		="countries/Oman.txt"
PER		="countries/Persia.txt"
YEM		="countries/Yemen.txt"

# India
HND 	="countries/India.txt"
GAY		="countries/Gaya.txt"
GUJ		="countries/Gujarat.txt"
BHO		="countries/Bhopal.txt"
BIK		="countries/Bikaner.txt"
BUN		="countries/Bundelkhand.txt"
GWA		="countries/Gwailor.txt"
BIJ		="countries/Bijapur.txt"
IND		="countries/Indore.txt"
JAI		="countries/Jaipur.txt"
JAS		="countries/Jaisalmer.txt"
JOD		="countries/Jodhpur.txt"
KAL		="countries/Kalat.txt"
KAS		="countries/Kashmir.txt"
KHO		="countries/Khoshut.txt"
MAK		="countries/Makran.txt"
MEW		="countries/Mewar.txt"
MYS		="countries/Mysore.txt"
RAI		="countries/Raipur.txt"
NEP		="countries/Nepal.txt"
ORI		="countries/Orissa.txt"
PNJ		="countries/Panjab.txt"
SHI		="countries/Shimla.txt"
SIK		="countries/Sikkim.txt"
SIN		="countries/Sind.txt"
TRA		="countries/Travancore.txt"

# Eastern Asia
ATJ		="countries/Atjeh.txt"
BAL		="countries/Bali.txt"
BHU		="countries/Bhutan.txt"
BRU		="countries/Brunei.txt"
BUR		="countries/Burma.txt"
CAM		="countries/Cambodia.txt"
CHI		="countries/China.txt"
DAI		="countries/Dai Viet.txt"
JAV		="countries/Java.txt"
KOR		="countries/Korea.txt"
LUA		="countries/Luang Prabang.txt"
SIA		="countries/Siam.txt"
TIB		="countries/Tibet.txt"
MGL		="countries/Mongolia.txt"
WIA		="countries/Wiang Chhan.txt"
PHL		="countries/Philippines.txt"
MCK		="countries/Manchukuo.txt"
GXI		="countries/Guangxi Clique.txt"
SXI		="countries/Shanxi.txt"
YNN		="countries/Yunnan.txt"
XBI		="countries/Xibei San Ma.txt"
XIN		="countries/Xinjiang.txt"

# North America
CAL		="countries/Californian Republic.txt"
CAN		="countries/Canada.txt"
CHE		="countries/Cherokee.txt"
COL		="countries/Columbia.txt"
COS		="countries/Costa Rica.txt"
CSA		="countries/CSA.txt"
CUB		="countries/Cuba.txt"
DES		="countries/Deseret.txt"
DOM		="countries/Dominican Republic.txt"
ELS		="countries/El Salvador.txt"
GUA		="countries/Guatemala.txt"
HAI		="countries/Haiti.txt"
HAW		="countries/Hawaii.txt"
#MAN		="countries/Manhattan Commune.txt"
MEX		="countries/Mexico.txt"
MTC		="countries/Metis Confederacy.txt"
HON		="countries/Honduras.txt"
NEN		="countries/New England.txt"
NEW		="countries/Newfoundland.txt"
NIC		="countries/Nicaragua.txt"
PNM		="countries/Panama.txt"
QUE		="countries/Quebec.txt"
TEX		="countries/Texas.txt"
UCA		="countries/United States of Central America.txt"

# South America
ARG		="countries/Argentina.txt"
BOL		="countries/Bolivia.txt"
BRZ		="countries/Brazil.txt"
CHL		="countries/Chile.txt"
CLM		="countries/Colombia.txt"
ECU		="countries/Ecuador.txt"
PEU		="countries/Peru.txt"
PRG		="countries/Paraguay.txt"
URU		="countries/Uruguay.txt"
VNZ		="countries/Venezuela.txt"

# Australasia
AST		="countries/Australia.txt"
