;;;;;;;;;;;;;;x,,,
EVTDESC990002;Slavery has long been practiced in europe and the islamic world alike. However, in recent years the issue of slavery has caused widespread division in western europe. Countries like Prydain or Spain even fought wars over its abolition with mixed results. Under Venetian Influence, a large part of the populace in Lower Egypt has grown rather dismissive of the continued practice of slavery within the Sultanate. While slavery within most of Egypt proper has fallen out of use, the East African Slave trade remains rather lucrative for us - With our recent reforms, the issue of the matter has been brought before Sultan and a decision over its future has to be made.;;;;;;;;;;;;;;x,,,
EVTOPT990002A;Egypt shall join the rest of the civilized world.;;;;;;;;;;;;;;x,,,
EVTOPT990002B;It is our God-given right to enslave those heathens.;;;;;;;;;;;;;;x,,,
EVTNAME990003;The Abbasid Coup;;;;;;;;;;;;;;x,,,
EVTDESC990003;After a century of prosperity, the Mamluk elite has failed to see the changing tides. Historians will argue over what caused the downfall of the Sultanate, but most likely a mixture of political stagnation, an entrenched conservative elite, an increasingly polarized populace as well as growing foreign influence have all contributed to the demise of Mamluk Sultanate. The Caliph has launched a coup with the support of the reactionary elements of the mamluk elite, re-establishing the Caliph's authority over the Nile. Following these events, the city of Alexandria seceded from the newly formed Caliphate, creating a new Egyptian Government led by the local Liberals and Christian Minority.;;;;;;;;;;;;;;x,,,
EVTOPT990003A;Allahu Akbar!;;;;;;;;;;;;;;x,,,
EVTOPT990003B;For a free and modern Egypt!;;;;;;;;;;;;;;x,,,
EVTNAME787807;The Situation in Paraguay;;;;;;;;;;;;;;x,,,
EVTDESC787807;In the aftermath of the chaotic declaration of independence, the majority of the Argentine Viceroyalty has fallen into the hands of the Colombian rebels. What remained of the Loyalists has fled into the territory of the Tawantinsuyu, leaving the provinces of Corrientes and Paraguay in the hands of the provincial government. In Asuncion, the government structure has largely collapsed, leaving the north in the hands of a newly formed Guarani Confederacy with the aim of throwing off the Spanish Yoke  entirely. We have to contain this anarchy and restore the provincial government as soon as possible if we wish to survive these turbolent times.;;;;;;;;;;;;;;x,,,
EVTOPT787807A;We shall prevail!;;;;;;;;;;;;;;x,,,
EVTNAME787808;The Future of Paraguay;;;;;;;;;;;;;;x,,,
EVTDESC787808;Having risen through the ranks during the Guarani War, our genral Bernardo Luis de Velasco has used his newly aquired military might to seize the government in Asuncion, officially declaring the independence of the country. A devout Paraguayanist, he has mobilized his troops and invaded the Chaco to secure it for the growing Paraguayan state. His intends are clear: to create a modern nationstate in the north, independent from both the Colombians and Platineans. Yet much works lays ahead of us - the native Guarani may have been defeated but form a large chunk of our population and have proven themselves to fiercly defend their independence. It might be most beneficial to properly integrate them into our newly emerging national identity.;;;;;;;;;;;;;;x,,,
EVTOPT787808A;No need to integrate a bunch of jungle dwellers.;;;;;;;;;;;;;;x,,,
EVTOPT787808B;The Guarani are an integral part of Paraguay!;;;;;;;;;;;;;;x,,,
EVTNAME6666300;The Fall of the Eagle;;;;;;;;;;;;;;x,,,
EVTDESC6666300;The Holy Roman Empire as an entity has lasted for a thousand years, acting as a hegemon over most of central and western europe. As much as it acted as a stabilizing force, so has it also brought much hardship and devastation in recent years as regional dukes and bishops lose control over their ever growing urban populace. Feudal structures and the rise of modern industrialism, combined with a weak central authority, economic hardship and deep religious divisions have increasingly destabilized and undermined the empire for centuries, resulting in the emperor becoming nothing more but a weak figurehead. At last has happened what was already well overdue: As Bohemia, the Hansa and Netherlands cut the remaining ties with Munich, the ruling Wittelsbacher see themselves unable to enforce the Imperial Law, unable to keep together a fracturing realm that is no longer meant to last. The princes no longer recognize the authority of the double-headed eagle, effectively rendering the empire void. At last, the true heir of Rome, with it's divine right to rule...;;;;;;;;;;;;;;x,,,
EVTOPT6666300A;...is an Empire no more.;;;;;;;;;;;;;;x,,,
EVTNAME6666301;The Fall of the Realm;;;;;;;;;;;;;;x,,,
EVTDESC6666301;The Holy Roman Empire has failed, we shall no longer be slaves to a remote emperor in Munich who cannot control his subjects. Long live the princes!;;;;;;;;;;;;;;x,,,
EVTOPT6666301A;An Empire no more!;;;;;;;;;;;;;;x,,,
EVTNAME1001020;Adopt Standard Italian?;;;;;;;;;;;;;;x,,,
EVTDESC1001020;Italy has become linguistically quite diverse since the downfall of the old empire, resulting in various regional tongues being spoken in the many states across the peninsula. With the rise of nationalist sentiment, the calls for a unified language has emerged as well and many have turned towards the Tuscan, albeit a modified variant, to act as the universal Italian language due to it's already prestigeous status. Alternatively, we can disregard the pan-italianists calls and embrace our local tongue instead.;;;;;;;;;;;;;;x,,,
EVTOPT1001020A;We are all Italians;;;;;;;;;;;;;;x,,,
EVTOPT1001020B;Disregard their calls;;;;;;;;;;;;;;x,,,
EVTNAME121107;The Nordic Student Movement;;;;;;;;;;;;;;x,,,
EVTDESC121107;Initiated by the students of Lund University in in Scania, the first Scandinavian Student Meeting was held in 1844 with the goal of developing and advancing Scandinavian Nationalism and Liberalism in the Nordic countries. It was attended by students from Uppsala University, Lund University, the University of Copenhagen, Helsinki University and the University of Christiana and was a relatively large success and is seen as a first step towards a united Scandinavia.;;;;;;;;;;;;;;x,,,
EVTOPT121107A;Nothing but dreamers.;;;;;;;;;;;;;;x,,,
EVTNAME161100;The 7 days of Stockholm;;;;;;;;;;;;;;x,,,
EVTDESC161100;Sweden is usually seen as we wealthy and stable country, however, in recent years things took a drastic turn. In the aftermath of the Nordic War of 1829, Sweden was forced to recognize Danish control over Götenburg and secede large strips of land along the Swedish-Norwegian border. Furthermore, Danish and Norwegian armies spread havoc throughout Sweden, harming the economy and leaving behind a severely disenfranchised populace. In an attempt to restore order to the post-war country, Sweden has turned into an increasingly autocratic monarchy that sees itself unable to keep a firm grip over the nation. At last, popular discontent has reached an all-time high as liberal revolutionaries called for an armed uprising against the monarchy, resulting in 7 days of steet and barricade fighting in Stockholm that have finally concluded in favor of the government. However, this may very well only be the beginning of something more sinister to come.;;;;;;;;;;;;;;x,,,
EVTOPT161100A;Sweden will prevail!;;;;;;;;;;;;;;x,,,
EVTNAME161101;The Swedish Revolution;;;;;;;;;;;;;;x,,,
EVTDESC161101;In the aftermath of the recent uprising in Stockholm, a wave of liberal agitation swept the country and created and increasingly hostile sentiment towards the Swedish monarchy. When an illegal gathering in Stockholm escalated in the aftermath of a police crackdown, much of the city joined the revolt with our troops being forced to pull out. As of right now, royalist militas are engaging in barricade fights throughout Stockholm against the revolutionaries while our troops prepare to invade just outside of the city boundaries. An armed intervention however would result in a high cost of lives and voices within our government have started to call for the King to abdicate and restore authority to a new parliament instead.;;;;;;;;;;;;;;x,,,
EVTOPT161101A;For King and Country!;;;;;;;;;;;;;;x,,,
EVTOPT161101B;Towards the Republic!;;;;;;;;;;;;;;x,,,
EVTNAME161102;The Swedish Republic;;;;;;;;;;;;;;x,,,
EVTDESC161102;With the constitution ratified, the King officially abdicated and the parliament finally in charge, the time has come to hold the first all-swedish elections since 1829, this time for all citizens of Sweden. While a Danish Intervention seems unlikely, it would be wise to prepare for the worst as our neighbours will likely attempt to restore the monarchy to Sweden.;;;;;;;;;;;;;;x,,,
EVTOPT161102A;The North shall be free!;;;;;;;;;;;;;;x,,,
EVTNAME191800;The Czecho-German Conflict;;;;;;;;;;;;;;x,,,
EVTDESC191800;In the aftermath of the Hussite wars, the heretical christian sects were eradicated for the most part and Bohemia enjoyed three centuries of stability thanks to the unifying catholic faith of the populace. In recent times however, a visible shift seems to have occurred as people become increasingly aware of the linguistic divide in our country. The German speaking populace of the Sudetenland and Silesia becomes more dissatisfied with the Czech dominated government in Prague while many Czechs see the unity of the realm threatened by possible secessionist groups in Eger and Breslau. A cultural rift is starting to emerge which will have to be overcome if Bohemia wants to last.;;;;;;;;;;;;;;x,,,
EVTOPT191800A;Bohemia is indivisible!;;;;;;;;;;;;;;x,,,
EVTNAME191801;Czech Nationalism Intensifies;;;;;;;;;;;;;;x,,,
EVTDESC191801;Recently nationalist and ethnic agitation has spiked in the Czech lands of Bohemia, causing widespread dissatisfaction with the current situation.;;;;;;;;;;;;;;x,,,
EVTOPT191801A;Bohemia is indivisible!;;;;;;;;;;;;;;x,,,
EVTNAME191802;German Nationalism Intensifies;;;;;;;;;;;;;;x,,,
EVTDESC191802;Influenced by recent events elsewhere in Germany, nationalist agitation in the German lands of Bohemia has intensified, causing separatist sentiment to arise due to the Czech dominated government in Prague. Especially among the Silesians is there a strong demand for German to be recognized as the official language of the Crown to ensure the cultural autonomy of Silesia and stronger ties with the rest of Germany at the cost of our Pannonian lands.;;;;;;;;;;;;;;x,,,
EVTOPT191802A;They'll be Czechs in no time.;;;;;;;;;;;;;;x,,,
EVTOPT191802B;Perhaps we should consider a language reform.;;;;;;;;;;;;;;x,,,
EVTNAME191803;The Rise of Moravianism;;;;;;;;;;;;;;x,,,
EVTDESC191803;Great Moravia was a union of various slavic entities that existed in what is today part of Moravia and Pannonia. Formed from the ruins of the first Avar Khaganate, Great Moravia dominated Bohemia and the Carpathian basin throughout the 9th century before disintegrating in the middle of the 10th century. While the Slavs of Moravia have long since evolved into the modern Czechs, Slovaks and Avars, the idea of a reunited Slovincian nation has recently gained traction as promiment patriotic clubs have sprung up from Praha to Vyšehrad to promote this Great Moravian Nationalism.;;;;;;;;;;;;;;x,,,
EVTOPT191803A;Nothing more but dreamers;;;;;;;;;;;;;;x,,,
EVTNAME191810;The Crown of Bohemia;;;;;;;;;;;;;;x,,,
EVTDESC191810;The Crown of Bohemia is arguably the hegemon of central europe and the main rival to the Wittelsbacher Empire. Following the the Hussite Wars in the 15th century, the current Rosenberg Dynasty of Bohemia firmly consolidated the Silesian and Lusatian Duchies and has greatly expanded the Bohemian realm to include much of Pannonia. Recently however, with the advent of nationalist sentiment following the Spanish Revolution, a rift appeared within Bohemia between the Czech lands of Bohemia-Moravia and the German Sudetes and Silesia. Furthermore, the politics of the Holy Roman Empire leave most of our domains in Pannonia outside our effective control and in the hands of the regional nobility, undermining the cohesion of the realm. In time we'll have to make a decision about the future of the Crown if we wish to preserve the Bohemian Hegemony.;;;;;;;;;;;;;;x,,,
EVTOPT191810A;A Bohemian will never bow to a Wittelsbach;;;;;;;;;;;;;;x,,,
EVTOPT191810B;Bohemia was always integral to the Empire;;;;;;;;;;;;;;x,,,
EVTNAME145507;The Time of Hojo;;;;;;;;;;;;;;x,,,
EVTDESC145507;When the Mongols first landed in 1274, they barely managed to hold onto the island of Kyushu, frequently dealing with local uprisings. It was with the on the onset of the Sengoku period, that the Mongols sweeped through Japan, depopulating the isles and breaking clans amidst the chaos. The Fall of Kyoto marked the end of the Imperial State of Japan, giving rise to the Kyoto Khanate in its place. A last ditch effort led by the great Hojo Clan managed to avoid the complete conquest of Japan, but left much of Japan in Mongol hands. However, the demise of the Tokugawa asserted the Hojo as the sole legitimate ruler this final rump state and as the Kyoto Khanate further disintegrates into tribal rivalries, we muster our strength in the north, preparing for the reconquest of our homeland.;;;;;;;;;;;;;;x,,,
EVTOPTA145507;The Shogun will restore order in the south!;;;;;;;;;;;;;;x,,,
EVTNAME145501;The Unification of the Ainu;;;;;;;;;;;;;;x,,,
EVTDESC145501;At last the Ainu are being reunited into a single entity. Long live the Jomon!;;;;;;;;;;;;;;x,,,
EVTOPT145501A;Finally;;;;;;;;;;;;;;x,,,
EVTNAME6666205;The Rise of Silesian Nationalism;;;;;;;;;;;;;;x,,,
EVTDESC6666205;Due to the recent increase of nationalist sentiment across much of europe, the historically ethnically mixed region of Silesia saw an increase in ethnic tensions as Upper Silesians increasingly identify as Poles and consider themselves alienated by our administration. Likewise, Lower Silesians increasingly embrace a German identity and enactes a series of local initiatives of fully germanize the rest of Silesia. Either way, a cultural divide has emerged in Silesia, one that might cause more serious issues in the future.;;;;;;;;;;;;;;x,,,
EVTOPT6666205A;Schlaesinger or Slunzoki, they're one and the same;;;;;;;;;;;;;;x,,,
EVTNAME6666200;The Teutonic Knighthood;;;;;;;;;;;;;;x,,,
EVTDESC6666200;In the 1440's, a series of Prussian cities and bishoprics had united against the arbitrariness of the Teutonic Knighthood and by 1454 had launched a rebellion against the Teutonic State which saw the establishment of Hanseatic Hegemony over the Baltics following their intervention into the Prussian War. Ever since, Danzig served as the capital and primary hub of the region, serving as the power basis from which the Hanseatic League governs Prussia. But the Knights were not abolished as an entity following their defeat - While they initially kept many of their lands around Marienburg, their center eventually shifted towards Königsberg from where the reactionary Knighthood operates to this day, constantly undermining the Prussian Confederation. With the recent rise of the Livonian Brotherhood, it is only a matter of time before the Teutons attempt to seize power in Prussia as well, hence why we must contain them once and for all.;;;;;;;;;;;;;;x,,,
EVTOPT6666200A;And so we shall;;;;;;;;;;;;;;x,,,
EVTNAME6666201;The Knighthood Contained;;;;;;;;;;;;;;x,,,
EVTDESC6666201;Our attempts at limiting the knighthood were successful - we have seized their remaining lands in Prussia and elimated their reactionary influence of the better - The Confederation has prevailed! However, the issue of the Baltic Collapse and the steady decline of the Hanseatic League are the primary reasons why the knighthood become an issue in the first place - perhaps it is time to cut ties with the League and establish ourselves as an independent democratic state based on the ideals of the Spanish Revolution?;;;;;;;;;;;;;;x,,,
EVTOPT6666201A;We will always stay with our Hanseatic Allies!;;;;;;;;;;;;;;x,,,
EVTOPT6666201B;Libertad, Igualdad, Fraternidad!;;;;;;;;;;;;;;x,,,
EVTNAME6666202;The Knights Rise Up!;;;;;;;;;;;;;;x,,,
EVTDESC6666202;Our failure to contain the Knights has finally resulted in the worst case scenario: The Teutonic State has seized Königsberg and the Memelland, as well as the territories of Kulm and Masuria. While Confederate troops managed to hold onto the Ermland, Pomerelle and Danzig itself, the situation appears bleak. The Confederation does not have the means to defeat the Teutonic State and aid from the League seems unlikely, thus many in the Danziger Hansetag have put forth the idea of capitulating outright before the situation escalates into civil war.;;;;;;;;;;;;;;x,,,
EVTOPT6666202A;And so end four centuries of freedom...;;;;;;;;;;;;;;x,,,
EVTOPT6666202B;We will not submit without a fight!;;;;;;;;;;;;;;x,,,
EVTNAME6666203;The Second Prussian War;;;;;;;;;;;;;;x,,,
EVTDESC6666203;The Knights have begun their offensive and war is inevitable now. Prussia is at war once more...;;;;;;;;;;;;;;x,,,
EVTOPT6666203A;For the League!;;;;;;;;;;;;;;x,,,
EVTOPT6666203B;Deus Vult!;;;;;;;;;;;;;;x,,,
EVTNAME6666204;The Prussians Secede!;;;;;;;;;;;;;;x,,,
EVTDESC6666204;We have received note that the Prussians have cut all ties to the League and established their own state independent from the Union. While clearly an act of treason, we don't have the means to enforce our will right now, thus many in the Hansetag have proposed to simply let them go.;;;;;;;;;;;;;;x,,,
EVTOPT6666204A;For the better.;;;;;;;;;;;;;;x,,,
EVTOPT6666204B;Prussia will always be Hanseatic!;;;;;;;;;;;;;;x,,,
EVTNAME135004;The Precarious State of the Baltics;;;;;;;;;;;;;x
EVTDESC135004;Formed in the 15th century in the aftermath of the War of the Prussian Confederation, the former Livonian State was incorported into the Hanseatic League to become the United Baltic Lands. A confederation of the Livonian Knights, various Bishoprics as well as the German and Lithuanian Nobility, this patchwork of various states is dominated by the Hanseatic city of Riga. While the liberal minded merchants of Riga promote the idea of a Federal Union, the recent rise of nationalist sentiment has periodically led to Lithuanian revolts. Most recently, we have received word of the Polish government supporting the Kaunas Nobility against our rule and should it not be dealt with soon, this could have serious repercussions for the League.;;;;;;;;;;;;;x
EVTOPT135004A;We will deal with the traitors.;;;;;;;;;;;;;x
EVTNAME188102;The Cherkess Unification;;;;;;;;;;;;;x
EVTDESC188102;With the rise of our neighbour to a status of Hegemon, they have initiated steps to centralize Cherkessia into a single nation.;;;;;;;;;;;;;x
EVTOPT188102A;Long live Cherkessia!;;;;;;;;;;;;;x
EVTNAME078502;The Royal Election of $YEAR$;;;;;;;;;;;;;x
EVTDESC078502;Poland has been an elective monarchy since the 16th century, meaning that the Polish nobility usually elects a new king upon the death or abdication of the previous one from among various european candidates. This unique arangement has kept Poland from succession wars born out of hereditary issues, but has also led to the country being easily influenced by outside powers. Since the mid 18th century, Poland has was traditionally ruled by members of the Wettin Dynasty of Saxony who greatly stabilized and enhanced the territory of the Polish Kingdom. Recent revolutionary developments in the West however have made the Sejm sceptical and worried that a Saxon Monarch could pull Poland into an undesired war in Western Europe. Thus a alternative proposal of electing a local Polish noble as King has become pretty attractive within a large faction of the Sejm.;;;;;;;;;;;;;x
EVTOPT078502A;The House of Wettin will keep Poland great!;;;;;;;;;;;;;x
EVTOPT078502B;Maybe we should consider a local alternative...;;;;;;;;;;;;;x
EVTNAME078503;The Royal Election of $YEAR$;;;;;;;;;;;;;x
EVTDESC078503;With the ideas of revolution and nationalism spreading throughout Western Europe, it was only a matter of time for it to reach Poland as well. The previous decade has seen the rise and spread of Pan-Slavic Nationalism throughout much of the Kingdom. The Wettins have done a great job at ruling Poland in the past, thus many in the Sejm consider electing another Saxon King to keep the multi-ethnic character of our Kingdom. However, with Poland including much of Ruthenia, the election of a Polish noble to solidify and expand upon the Polish-Ruthenian Pan-Slavic ethos to strengthen our country seems reasonable as well. Alternatively, there have beeen new forces advocating for the election of a Bohemian King and for the development of a West-Slavic Nationalism specifically to further the polonization of the East.;;;;;;;;;;;;;x
EVTOPT078503A;The House of Wettin will rule Poland once more.;;;;;;;;;;;;;x
EVTOPT078503B;A local will do just fine.;;;;;;;;;;;;;x
EVTOPT078503C;A Bohemian King will lead us to Zapadoslavia!;;;;;;;;;;;;;x
EVTNAME078504;The Royal Election of $YEAR$;;;;;;;;;;;;;x
EVTDESC078504;Recent developments in our country have led to an increased polarization between Poles and Ruthenians, leaving our country potentially weak and unstable. With this year's Kingly Election, two candidates have been brought forward: A Polish and a Ruthenian Noble. Having a Polish King would most likely agitate the Ruthenian Lands further but greatly speed up the process of Polonization. Alternatively, a Ruthenian Noble would appease the eastern Peasantry and Nobility at the cost of Polish nationalists at home who could potentially start undermining the Sejm alltogether.;;;;;;;;;;;;;x
EVTOPT078504A;We need a Polish King!;;;;;;;;;;;;;x
EVTOPT078504B;We need a Ruthenian King!;;;;;;;;;;;;;x
EVTNAME078505;The Royal Election of $YEAR$;;;;;;;;;;;;;x
EVTDESC078505;The turmoil and instability of the past century seem to have gone by at last and our country stands united. Despite the death of our beloved King, Poland and Ruthenia stand united under a single flag with people from both nations already celebrating this years' election of a Polish-Ruthenian King who will lead our country into a prosperous future.;;;;;;;;;;;;;x
EVTOPT078505A;The Commonwealth stands united.;;;;;;;;;;;;;x
EVTNAME078501;The Formation of the Commonwealth;;;;;;;;;;;;;x
EVTDESC078501;Recent Developments in the Kingdom have resulted in the formation of the Polish-Ruthenian Commonwealth, effectively integrating our country into the new Union.;;;;;;;;;;;;;x
EVTOPT078501A;So be it;;;;;;;;;;;;;x
EVTNAME078500;The Port of Chadzybej;;;;;;;;;;;;;x
EVTDESC078500;A decade has passed since we first initiated the construction of Chadzybej - What was initially a Moldovan fishing village of some 1500 people has grown to include varios industries and peoples from all over europe, creating a unique regional culture that integrated German, Italian, Ruthenian, Tatar and Polish elements. Having become a major sea port on the black sea coast, the town will serve as a major economic hub of our country and is only expected to grow further in the future.;;;;;;;;;;;;;x
EVTOPT078500A;A full success.;;;;;;;;;;;;;x
EVTNAME152600;The Maratha Conspiracy;;;;;;;;;;;;;x
EVTDESC152600;Ever since the fall of the Ahmadnagar Sultanate has the majority of Maharashtra been ruled by the Deccani Sultans of Bijapur. However, while nominally part of the Bijapuri Sultanate, the Maratha Caste has retained many privileges and a large degree of autonomy, especially in Nagpur and Bombay. Due to this situation, the Sultan holds little influence over his northern possessions and the Maratha are fully aware of that, steadily undermining the Sultan's authority to expand their own control over the region. Even while under foreign rule, the Maratha stand united.;;;;;;;;;;;;;x
EVTOPT152600A;Our time will come.;;;;;;;;;;;;;x
EVTNAME152601;The Unification of the Maratha;;;;;;;;;;;;;x
EVTDESC152601;The Maratha of Bombay put forth a proposal to enter into a confederacy to undermine the Sultan's authority. If we decline, we run risk of being subdued by the Bijapuri, accepting however would mean submitting to the Bombayi Maratha.;;;;;;;;;;;;;x
EVTOPT152601A;For the Maratha!;;;;;;;;;;;;;x
EVTOPT152601B;For the Sultan!;;;;;;;;;;;;;x
EVTNAME152602;Growing Maratha Influence;;;;;;;;;;;;;x
EVTDESC152602;Since the conquest of the Ahmadnagar Sultanate we've had trouble keeping a firm hold on the area. In order to exert any sort of authority and to avoid any revolts, the Maratha were given a large degree of autonomy to deal with their own affairs, allowing us to more efficiently administer our core territory without having to worry about a potential civil war. However, this seems to have backfired now as the Maratha have entered into a coalition and have begun to actively disobey any directives from Bijapur!;;;;;;;;;;;;;x
EVTOPT152602A;We should've never trusted these fools.;;;;;;;;;;;;;x
EVTNAME152603;The Occupation of Bombay;;;;;;;;;;;;;x
EVTDESC152603;The Sultan has sent an army to our capital in an attempt to revoke our autonomous status and assert his direct rule over the whole region. Poona has already fallen to the Sultan's army - However, in Bombay the local Maratha have refused to surrender and tensions are boiling throughout the city. Submitting to the invading force would mean giving up our independence. But lucky for us, their troops are spread out throughout the city and can easily be overwhelmed if we act swiftly. How should we proceed?;;;;;;;;;;;;;x
EVTOPT152603A;Kill every last one of them!;;;;;;;;;;;;;x
EVTOPT152603B;We had a good run...;;;;;;;;;;;;;x
EVTNAME152604;The Bombay Massacre!;;;;;;;;;;;;;x
EVTDESC152604;My Sultan! News have reached us that the Maratha have refused to submit and have killed our troops that were sent to pacify the city. This is the final insult and a clear act of rebellion. We have to prepare for the worst.;;;;;;;;;;;;;x
EVTOPT152604A;Mobilize the army!;;;;;;;;;;;;;x
EVTNAME152605;The Maratha Revolt;;;;;;;;;;;;;x
EVTDESC152605;In the aftermath of Fall of the Ahmadnagar Sultanate, the area has effectively fallen into the hands of the Maratha Caste who were initially loyal subjects of the new Bijapuri Sultans. However, following centuries of autonomy, decentralization, weak governance and conspiracy, the Maratha have managed to take effective control over most of Maharashtra, creating a parallel government in Bombay, independent from Bijapur. With tensions escalating recently when the Sultan attempted to assert his authority over the north, the Maratha Confederacy has declared an open revolt, forming the Maratha Empire in the process.;;;;;;;;;;;;;x
EVTOPT152605A;We go to war!;;;;;;;;;;;;;x
EVTNAME152606;The Maratha Confederacy;;;;;;;;;;;;;x
EVTDESC152606;Thanks to our efforts to unite the Maratha Caste we have finally managed to unite the majority behind us in a single confederacy. This should severely undermine the Sultan's efficiency in administrating Maharashtra and put us in a more favorable position to enforce our demands at will.;;;;;;;;;;;;;x
EVTOPT152606A;The Age of the Maratha has begun.;;;;;;;;;;;;;x
EVTNAME251700;The Decline of Persia;;;;;;;;;;;;;x
EVTDESC251700;In the aftermath of the Safavid's collapse, Iran was divided between various Kurdish, Turkmen and Persian dynasties all fighting for the control of the former imperial territory. In these times, Afghanistan enjoyed a brief period of independence but by 1766 the Turkmen Hajilarids of Khorasan have managed to reunite the Safavid's former empire, extending their rule over much of Afghanistan as well. However, in recent years the constant wars against the Rûm have left the empire weakened and decentralized. A man by the name of Iqbal Nazari has used this oppertunity to unite the Pashtos of Kandahar and Pashtunistan under a single banner and is now preparing a potential uprising against Hajilarid Rule.;;;;;;;;;;;;;x
EVTOPT251700A;Afghanistan shall be free once more;;;;;;;;;;;;;x
EVTNAME251701;The Nazarid Revolt;;;;;;;;;;;;;x
EVTDESC251701;Afghanistan has been part of the Iranian Empires since the Safavid Era but has proven itself to be an extremely rebellious region. While the usually rebellious region of Kandahar has largely been quiet since the rise of the Sunni Hajilarid Dynasty, recent wars in the West against the rising Shahdom of Rûm has left much of Pashtunistan de facto independent. To our misfortune, this has now led to the rise of a new Pashto Dynasty under a man called Iqbal Nazari. We must restore order in the east swiftly before more regions threaten to secede from the empire.;;;;;;;;;;;;;x
EVTOPT251701A;That backwater is not worth a potential civil war.;;;;;;;;;;;;;x
EVTOPT251701B;For the unity of Iran!;;;;;;;;;;;;;x
EVTNAME251702;The End of the Nazarid Revolt;;;;;;;;;;;;;x
EVTDESC251702;With the fall of the last Nazarid Stronghold, all of Afghanistan has once again been subdued and reintegrated into Iran. In spite of this, we retain our de facto independence and while officially part of the empire, it is only a matter of time before another disaster strikes the central authority and we get out second chance at gaining independence.;;;;;;;;;;;;;x
EVTOPT251702A;Soon we will be free once more;;;;;;;;;;;;;x
EVTNAME251703;The Occupation of Peshawar;;;;;;;;;;;;;x
EVTDESC251703;With our troops occupied in the west, the backstabbing Sikhs have taken their oppertunity and occupied Peshawar - while clearly an act of war, the Sikhs do not seem interested in any further territorial conquests into our lands. Redirecting our troops back to the east to retake the area would escalate the conflict and put us in a two-front war. How should we procede?;;;;;;;;;;;;;x
EVTOPT251703A;We will reclaim it in the future.;;;;;;;;;;;;;x
EVTOPT251703A;With Allah on our side, no one can defeat us!;;;;;;;;;;;;;x
EVTNAME251704;Nazarid Takeover!;;;;;;;;;;;;;x
EVTDESC251704;As Persia declines, Afghanistan is once more trying to regain its independence. Local loyalists of a man called Nazari have taken over the region and voiced their support for the Afghan Dynasty.;;;;;;;;;;;;;x
EVTOPT251704A;It is for the best of the country...;;;;;;;;;;;;;x
EVTNAME251706;The Fall of the Hajilarids;;;;;;;;;;;;;x
